CPU,Cores,Threads,Iteration,Time
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,1,1,277964096
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,1,2,282966796
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,1,3,280286355
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,1,4,279993744
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,1,5,281364909
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,2,1, 144021280
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,2,2, 142546875
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,2,3, 143370472
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,2,4, 142662297
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,2,5, 143027451
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,3,1, 98191839
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,3,2, 97797007
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,3,3, 98724230
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,3,4, 98506886
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,3,5, 98555573
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,4,1, 75968016
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,4,2, 75637781
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,4,3, 75344101
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,4,4, 75527590
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,4,5, 75493089
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,5,1, 61949716
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,5,2, 61905208
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,5,3, 62358380
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,5,4, 62524742
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,5,5, 62375516
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,6,1, 52726066
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,6,2, 53322214
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,6,3, 53306740
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,6,4, 52277791
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,6,5, 53275070
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,7,1, 46067142
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,7,2, 45942785
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,7,3, 47236133
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,7,4, 47096900
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,7,5, 46147947
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,8,1, 40909816
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,8,2, 41124247
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,8,3, 42525314
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,8,4, 44461810
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,8,5, 42321732
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,9,1, 47770233
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,9,2, 47429413
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,9,3, 47785181
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,9,4, 47560941
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,9,5, 48603708
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,10,1, 43517636
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,10,2, 43656618
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,10,3, 45857315
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,10,4, 45886682
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,10,5, 43899454
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,11,1, 43096937
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,11,2, 40292211
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,11,3, 42538088
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,11,4, 40217883
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,11,5, 39611482
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,12,1, 40602810
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,12,2, 40083847
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,12,3, 39041580
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,12,4, 41253027
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,12,5, 39715033
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,13,1, 38910952
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,13,2, 37667869
